id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,ビジネス宮崎ロイヤルホテル,/yad308434/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=308434&callbackHistFlg=1,シングルルームは全てダブルベッド使用（ツインのシングルユースになる場合が御座います）駐車場無料※大型車可要予約（有料）モーニングコーヒーセルフサービスコンビニ、スーパー徒歩で1〜2分,【アクセス】日豊線宮崎駅西口から南へ徒歩で10分。,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥5,194〜","（￥2,597〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,青島水光苑ホテル,/yad310608/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310608&callbackHistFlg=1,＜政府登録＞　新鮮な魚介類が評判！地獲れの旨い魚とキレイな空気に癒される味自慢の宿・魚介類は天然物のみ使用。リーズナブルな宿泊料金で、休前日も平日と同料金！！,【アクセス】宮崎ICから車で10分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,ガーデンテラス宮崎　ホテル＆リゾート,/yad314454/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314454&callbackHistFlg=1,駅からほど近い立地からは想像がつかない程の静寂の中に佇むラグジュアリーホテル。世界的建築家・隈研吾氏によりデザインされた周囲の環境と風景に調和した空間。,【アクセス】宮崎駅から徒歩8分。宮崎空港/宮崎ＩＣから車で約20分。,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥22,685〜","（￥11,342〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,ホテル　金住,/yad337229/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=337229&callbackHistFlg=1,大淀川河畔に位置する当館は、市の中心部にも近く何かと便利な立地にあります。美肌効果で好評の温泉や、地物にこだわりを持ったお料理とおもてなしの心を忘れずに思い出に残る旅行の一躍を担えれば…,【アクセス】宮崎駅〜車で5分　宮崎空港〜車で15分　宮崎IC〜車で15分　宮崎港〜車で10分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥8,333〜","（￥4,166〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,ビジネスホテル林荘,/yad349692/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=349692&callbackHistFlg=1,宮崎市の繁華街の中心に位置しており、低料金で充実した設備、客室も清潔感を心がけております。もちろん当ホテルの駐車場は無料にてご案内致しております(普通車)1.5トン以上別途700円(要予約)。,【アクセス】宮崎駅よりタクシーにて4分/宮崎空港よりお車で15分/宮崎ICよりお車で13分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,酒泉の杜 綾陽亭,/yad357168/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=357168&callbackHistFlg=1,【蔵元】ならでは！様々なお酒の試飲ができ、お酒付きプランも豊富。自然の恵みを贅沢に取り入れた料理長自慢の会席料理と専用檜風呂をお楽しみください。第36回プロが選ぶ100選土産物施設部門第２位！,【アクセス】宮崎駅より車で４０分。宮崎空港より車で６０分。九州自動車道「小林ＩＣ」より６０分。,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥32,000〜","（￥16,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,ビジネスホテルスイセン,/yad377964/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=377964&callbackHistFlg=1,宮崎県庁、宮崎市役所へ徒歩圏内。繁華街へも徒歩5分程。気軽に利用できるのが魅力。ベッドはゆったりサイズのセミダブルベッドを使用。,【アクセス】宮崎空港から車で約２０分・宮崎駅から車で約５分・県庁から徒歩約１０分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥5,500〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,えぷろん亭,/yad386170/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=386170&callbackHistFlg=1,日南海岸ドライブコース！国道220号線沿いに佇む全3室の小さな宿。太平洋を眼下に見下ろす部屋で潮香と波音を聞きながら、のんびりとした時間を―。新鮮な魚介類と海から昇る日の出は格別です♪,【アクセス】ＪＲ日南線　小内海駅より南へ徒歩１５分／バスの場合、宮崎交通「洋香園」より徒歩２分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,宮崎グリーンホテル,/yad398510/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=398510&callbackHistFlg=1,『サービスや特典が良く、スタッフさんの対応も丁寧！』（クチコミより）コンビニ・飲食店も近く、フリードリンクにシャンプーバー、漫画・Wifiなど充実のサービス♪ぽかぽか♪ウキウキ♪宮崎へＧＯ！　,【アクセス】宮崎ＩＣから15分　　宮崎西ＩＣから10分　　宮崎空港から20分　　ＪＲ宮崎駅から5分　（全て車の場合）,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥3,611〜","（￥1,805〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,宮崎観光ホテル,/yad300515/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300515&callbackHistFlg=1,60周年の感謝を込めて★じゃらん限定のお得な素泊まりプランが登場！館内には和食・フレンチ・イタリアン・中華・鉄板焼きなどレストランも充実。館内の「たまゆらの湯」温泉は宿泊者は無料で利用できます♪,【アクセス】宮崎空港より車で１５分。ＪＲ宮崎駅より車で５分。（バス停）橘通１丁目で下車、徒歩10分,エリア ： 宮崎県 > 宮崎・青島・シーガイア,2016-03-28 01:19:12,2016-03-28 01:19:12,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
