id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8667,旅館　とよとみ,/yad373395/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=373395&callbackHistFlg=1,男女別大浴場、別棟に男女別露天風呂、家族湯専用の洞窟風呂・ひのき風呂・五右衛門風呂があり、いろんなお風呂が楽しめる。お風呂良し、お湯良し、料理自慢の旅館とよとみにどうぞ　,【アクセス】大分自動車道杷木ICより車で約５分,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥18,000〜","（￥9,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668,ひむかの郷,/yad356650/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=356650&callbackHistFlg=1,デッキでの持ち込みバーベキューは、グリル・木炭・紙皿・ゴミ袋などセット付き！玄界灘が臨める見晴らしのよい露天風呂で、のんびりゆったり♪,【アクセス】二丈浜玉有料道路　吉井インター下車後４分,エリア ： 福岡県 > 糸島・前原,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥4,629〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8669,芥屋（けや）倶楽部　筑前海,/yad360358/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360358&callbackHistFlg=1,福岡市内から車で30〜40分と好アクセスのお手軽リゾート「糸島」！海が目の前のロケーションと鮮度抜群の海の幸をお楽しみ下さい。テラスでは通年ＢＢＱが楽しめます♪,【アクセス】西九州道前原インターより車で15分,エリア ： 福岡県 > 糸島・前原,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8670,ホテルニューガイア糸島（旧：前原セントラルホテル）,/yad373230/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=373230&callbackHistFlg=1,全館改修工事完了致しました！この機会に是非リニューアルされたホテルニューガイア糸島をご利用下さいませ！,【アクセス】ＪＲ筑前前原駅より徒歩３分　前原バス発着所より徒歩２分。福岡空港・博多・天神から地下鉄経由で一直線。,エリア ： 福岡県 > 糸島・前原,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥5,555〜","（￥2,777〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8671,コテージ・凜,/yad377844/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=377844&callbackHistFlg=1,１日１組限定のペットと泊まれる宿　大切なペットも同じ部屋でＯＫ！　家族旅行、グルーブに！　レジャーに最適、ビジネスにも。ペット連れでない方も大歓迎！　便利な街中のコテージです。,【アクセス】高速道路ＩＣから約５分、ＪＲの駅から徒歩約７分の好立地,エリア ： 福岡県 > 糸島・前原,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8672,伊都　森のコテージ,/yad392288/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392288&callbackHistFlg=1,糸島半島にある貸別荘。海から車で2分のところにあり、海水浴・釣り・ゴルフに最適。※諸事情によりH28　7月31日をもちましてコテージの営業は終了致します。7月31日までのご利用宜しくお願い致します。,【アクセス】福岡ICから都市高速・西九州道に乗継、前原ICへ。国道12号線から国道54号線で芥屋へ。岐志交差点を左折,エリア ： 福岡県 > 糸島・前原,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥10,185〜","（￥5,092〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8673,HOTEL AZ 福岡糸島店,/yad393165/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393165&callbackHistFlg=1,博多・天神までお車で約35分！ビジネスや観光の拠点に大活躍です。★無料駐車場125台、大型バス（有料）2台駐車スペース有★コインランドリー、お食事処、24hスーパーなど、便利な施設あります。,【アクセス】・前原ICよりお車16分・JR筑前前原駅より徒歩16分,エリア ： 福岡県 > 糸島・前原,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥6,796〜","（￥3,398〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8674,Slow Resort ぶどうの樹　『杜の七種』,/yad304885/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304885&callbackHistFlg=1,スローリゾート「ぶどうの樹」のレンガ道の先にある、森に囲まれたお宿が杜の七種です。開放感溢れる離れには、全室ジャグジーを完備。日常から解き放たれて、ワンランク上の休日をお過ごし下さい。,【アクセス】天神・小倉より車で約1時間。博多駅より電車で約1時間、小倉駅より約40分。,エリア ： 福岡県 > 若宮・遠賀・直方,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥26,000〜","（￥13,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8675,湯めぐりの宿　楠水閣,/yad322668/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=322668&callbackHistFlg=1,湯めぐりの宿・・・名前の通り豊富な温泉施設が自慢の宿です。２つの大浴場に趣向を凝らした１０種の露天風呂、７つの家族風呂など、温泉好きな方にはきっとお楽しみいただける旅館です。,【アクセス】九州自動車道若宮ICより県道21号線を福岡方面へ13分,エリア ： 福岡県 > 若宮・遠賀・直方,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥24,277〜","（￥12,138〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8676,脇田温泉 ルートイングランティア若宮,/yad355290/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355290&callbackHistFlg=1,脇田温泉露天風呂サウナ完備☆BBQ場新規OPEN!グラウンドゴルフ場6コース48ホール、テニス・卓球・バトミントン施設完備☆全室加湿空気清浄機・無料LAN完備☆各種クレジット･ID･Edy･WAON利用可☆団体歓迎,【アクセス】九州道若宮ICより県道２１号線を福岡方面へ１４分☆福岡都市高速糟谷ICより約20分☆,エリア ： 福岡県 > 若宮・遠賀・直方,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥12,870〜","（￥6,435〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
