id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642,八丈島パークホテル,/yad310816/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310816&callbackHistFlg=1,◆羽田空港から飛行機で１時間以内のアイランド◆初めて島旅行される方を全力でサポートします！オーナーお手製の島内マップがあるからこそ八丈島の１泊目は、パークホテルへぜひお越しください。,【アクセス】【送迎あり】八丈島空港：車で約6分／底土港：車で約12分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥10,450〜","（￥5,225〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7643,ペンション　ブルーマーリン,/yad311688/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311688&callbackHistFlg=1,ブルーマーリンは海辺に近く、一帯は緑濃い亜熱帯植物に囲まれた静かな環境。海水浴、ダイビング、釣り、ハイキング、温泉、史跡巡りと遊びを満喫の後はペンションディナーでお楽しみください。,【アクセス】羽田空港よりエアーニッポン又は竹芝桟橋より東海汽船,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥9,629〜","（￥4,814〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7644,八丈ビューホテル,/yad311834/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=311834&callbackHistFlg=1,高台のラウンジから太平洋と満天の星空を眺め、釣り、ダイビング、トレッキング、名勝の滝や水平線に沈む夕陽と、見所盛りだくさん！屋外スポーツ施設も充実した常春の温か〜い島に、おじゃりやれ〜,【アクセス】八丈島空港より車５分。八丈島底土港より車１５分。バス「ビューホテル下」下車徒歩５分。,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7645,ホテル赤門,/yad314895/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314895&callbackHistFlg=1,大島の海の玄関、元町港より徒歩1分の所に位置し絶好のロケーションが展開するホテル。豊かな緑と小動物達のささやきをバッググラウンドに、青い海原を通う観光船と勇壮な三原山が望めるよ。,【アクセス】元町港より徒歩1分　大島空港より車で１０分　岡田港より車で１５分　無料送迎あり,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥16,666〜","（￥8,333〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7646,ロッジ　オーシャン,/yad318643/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318643&callbackHistFlg=1,海水浴場・港（底土港に徒歩５分、）空港に車で７分。飲食街も徒歩圏の立地。ビジネスや観光に最適！洗濯機も共用スペースに設け思い思いの宿泊応援！宿と空港・港間の無料送迎あり(要予約制),【アクセス】アクセスは羽田発ANA定期便133〜166人乗り（1日3便・羽田⇒八丈）就航・海路は大型客船1日1便東京発,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥7,222〜","（￥3,611〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7647,ホテル　リード・アズーロ,/yad328226/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328226&callbackHistFlg=1,空港・底土港から車で7分。お部屋は和風モダンな洋室と和室をご用意。眼前に広がる八丈の海と島の食材を使った洋食が自慢の島内唯一の海岸隣接リゾート！2013年12月に本館客室改装しました。,【アクセス】八丈島空港・底土港から車で7分。,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7648,天然温泉の宿　ホテル白岩,/yad328548/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328548&callbackHistFlg=1,大島の中心地元町にあり、島内観光には好都合。島の恵みが味わえるヘルシー料理も◎。大浴場や露天風呂は、1986年の三原山大噴火の際に噴出した、少し塩辛い温泉。お肌がスベスベになると評判です。,【アクセス】東海汽船、大島元町港より徒歩８分、岡田港より車で１５分、大島空港より車で７分。,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥13,000〜","（￥6,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,でんハウス,/yad328614/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328614&callbackHistFlg=1,でんハウスは、祖父母が愛着を持って暮らしていた民家をマシオ・リゾートがリノベーションし快適な設備とリラックスできる空間に整え、ご自分のスタイルでステイできる１組限定貸切の宿です。,【アクセス】大島元町港より車で約３分、岡田港より車で１５分、大島空港より車で１０分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥23,333〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7650,リードパークリゾート八丈島,/yad342149/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=342149&callbackHistFlg=1,2015年夏、ホテルリード・アズーロの姉妹館として改装オープンしました！八丈島空港よりお車にて約８分駐車場:有り　３０台　無料　予約不要,【アクセス】八丈島空港よりお車にて約８分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651,シェルトーン＜八丈島＞,/yad351601/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=351601&callbackHistFlg=1,■全室バストイレ付＆WiFi完備■底土港が目の前＆空港からは車で5分■メインビーチ「底土海水浴場」まで徒歩3分■飲食店やスーパーが徒歩圏内で楽々■目の前の美しい海とゆっくり流れる島時間を満喫,【アクセス】■八丈島空港から車で5分　■底土港より徒歩1分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652,国民宿舎　サンマリーナ,/yad361922/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=361922&callbackHistFlg=1,底土港より徒歩5分。海水浴場前の好立地。客室は無線LAN接続OK!2Fテラスからは、朝は日の出、夜は漁火が眺められるよ。お食事は、八丈島産の魚や野菜の素材を生かした郷土料理で島を満喫。,【アクセス】八丈島空港より車で７分。東海汽船底土港より徒歩5分。,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥10,200〜","（￥5,100〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7653,スナッパー,/yad363580/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=363580&callbackHistFlg=1,野鳥観察に最適！部屋からも天然記念物アカコッコやカラスバトを観察。ダイビングプログラム、観光、自然ガイドも常時開催。観光のお客様の他にお仕事のお客様も歓迎です。,【アクセス】三池港より15分、三宅島空港より15分、錆が浜港より25分、三ノ輪バス停より徒歩５分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥8,703〜","（￥4,351〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654,ペンションビーチタイム,/yad366198/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=366198&callbackHistFlg=1,海水浴場歩いて行ける好立地。ダイビング、サーフィン、魚釣り、ハイキング、山登り、温泉など楽しみいろいろ。学生団体割引もあります。空港近くには素泊まりロッジフリージアも。,【アクセス】港から徒歩５分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥9,259〜","（￥4,629〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
